team name,name fix,team name odds,Team Abr
76ers,Philadelphia 76ers,Philadelphia 76ers,PHI
Bucks,Milwaukee Bucks,Milwaukee Bucks,MIL
Bulls,Chicago Bulls,Chicago Bulls,CHI
Cavaliers,Cleveland Cavaliers,Cleveland Cavaliers,CLE
Celtics,Boston Celtics,Boston Celtics,BOS
Clippers,Los Angeles Clippers,LA Clippers,LAC
Grizzlies,Memphis Grizzlies,Memphis Grizzlies,MEM
Hawks,Atlanta Hawks,Atlanta Hawks,ATL
Heat,Miami Heat,Miami Heat,MIA
Hornets,Charlotte Hornets,Charlotte Hornets,CHA
Jazz,Utah Jazz,Utah Jazz,UTA
Kings,Sacramento Kings,Sacramento Kings,SAC
Knicks,New York Knicks,New York Knicks,NYK
Lakers,Los Angeles Lakers,Los Angeles Lakers,LAL
Magic,Orlando Magic,Orlando Magic,ORL
Mavericks,Dallas Mavericks,Dallas Mavericks,MAV
Nets,Brooklyn Nets,Brooklyn Nets,BKN
Nuggets,Denver Nuggets,Denver Nuggets,DEN
Pacers,Indiana Pacers,Indiana Pacers,IND
Pelicans,New Orleans Pelicans,New Orleans Pelicans,NOH
Pistons,Detroit Pistons,Detroit Pistons,DET
Raptors,Toronto Raptors,Toronto Raptors,TOR
Rockets,Houston Rockets,Houston Rockets,HOU
Spurs,San Antonio Spurs,San Antonio Spurs,SAS
Suns,Phoenix Suns,Phoenix Suns,PHO
Thunder,Oklahoma City Thunder,Oklahoma City Thunder,OKC
Timberwolves,Minnesota Timberwolves,Minnesota Timberwolves,MIN
Trail Blazers,Portland Trail Blazers,Portland Trail Blazers,POR
Warriors,Golden State Warriors,Golden State Warriors,GSW
Wizards,Washington Wizards,Washington Wizards,WAS
